" When does the ArrayIndexOutOfBoundsException occur?",Compile-time,Run-time,Not an error,Not an exception at all,b
" Which of the following concepts make extensive use of arrays?",Binary trees,Scheduling of processes,Caching,Spatial locality,d
" What are the advantages of arrays?",Objects of mixed data types can be stored,Elements in an array cannot be sorted,Index of first element of an array is 1,Easier to store elements of same data type,a
" What are the disadvantages of arrays?",Data structure like queue or stack cannot be implemented,There are chances of wastage of memory space if elements inserted in an array are lesser than the allocated size,Index value of an array can be negative,Elements are sequentially accessed,a
" What is a sparse array?",Data structure for representing arrays of records,Data structure that compactly stores bits,An array in which most of the elements have the same value,An array in which memory is allocated in run time,b
" When do you use a sparse array?",When there are unique elements in the array,When the array has more occurrence of zero elements,When the data type of elements differ,When elements are sorted,b
" What is the difference between a normal(naive) array and a sparse array?",Sparse array can hold more elements than a normal array,Sparse array is memory efficient,Sparse array is dynamic,A naive array is more efficient,a
" Which of the following is false?",Suffix array is always sorted,Suffix array is used in string matching problems,Suffix array is always unsorted,Suffix array contains all the suffixes of the given string,a
" Suffix array of the string �statistics� is ____________",2 8 7 4 9 0 5 1 6 3,2 7 4 9 8 0 5 1 6 3,2 4 9 0 5 7 8 1 6 3,2 8 7 0 5 1 6 9 4 3,c
" Suffix array can be created by performing __________ traversal of a suffix tree.",breadth-first,level order,depth-first,either breadth-first or level order,b
" If comparison based sorting algorithm is used construct the suffix array, then what will be time required to construct the suffix array?",O(nlogn),O(n2),O(n2logn),O(n2) + O(logn),d
" What will be the suffix array of the string �engineering�?",2 3 8 4 9 1 7 5 0 6 10,5 0 6 1 4 9 1 7 0 2 3 8,5 0 6 10 2 4 9 1 7 3 8,5 0 6 10 2 3 8 4 9 1 7,c
" LCP array and ______ is used to construct suffix tree.",Hash tree,Hash trie,Suffix array,Balanced tree,d
" What is the time required to locate the occurrences of a pattern P of length m in a string of length n using suffix array?",O(nm),O(n2),O(mnlogn),O(mlogn),a
" What is a bit array?",Data structure for representing arrays of records,Data structure that compactly stores bits,An array in which most of the elements have the same value,Array in which elements are not present in continuous locations,a
" Which of the following bitwise operations will you use to set a particular bit to 1?",OR,AND,XOR,NOR,b
" Which of the following bitwise operations will you use to set a particular bit to 0?",OR,AND,XOR,NAND,c
" Which of the following bitwise operations will you use to toggle a particular bit?",OR,AND,XOR,NOT,d
" Which of the following is not an advantage of bit array?",Exploit bit level parallelism,Maximal use of data cache,Can be stored and manipulated in the register set for long periods of time,Accessing Individual Elements is easy,d
" Which of the following is not a disadvantage of bit array?","Without compression, they might become sparse",Accessing individual bits is expensive,"Compressing bit array to byte/word array, the machine also has to support byte/word addressing",Storing and Manipulating in the register set for long periods of time,d
" Which of the following is/are not applications of bit arrays?",Used by the Linux kernel,For the allocation of memory pages,Bloom filter,Implementation of Vectors and Matrices,a
" Which class in Java can be used to represent bit array?",BitSet,BitVector,BitArray,BitStream,b
" Which of the following bitwise operator will you use to invert all the bits in a bit array?",OR,NOT,XOR,NAND,a
" What does Hamming weight/population count mean in Bit arrays?",Finding the number of 1 bit in a bit array,Finding the number of 0 bit in a bit array,Finding the sum of bits in a bit array,Finding the average number of 1�s and 0�s in bit arrays,b
" What does the number of inversions in an array indicate?",mean value of the elements of array,measure of how close or far the array is from being sorted,the distribution of values in the array,median value of the elements of array,a
" How many inversions does a sorted array have?",0,1,2,cannot be determined,d
" What is the condition for two elements arr[i] and arr[j] to form an inversion?",arr[i]<arr[j] ,i < j,arr[i] < arr[j] and i < j,arr[i] > arr[j] and i < j,b
" Under what condition the number of inversions in an array are maximum?",when the array is sorted,when the array is reverse sorted,when the array is half sorted,depends on the given array,a
" Under what condition the number of inversions in an array are minimum?",when the array is sorted,when the array is reverse sorted,when the array is half sorted,depends on the given array,d
" How many inversions are there in the array arr = {1,5,4,2,3}?",0,3,4,5,b
" Which of the following form inversion in the array arr = {1,5,4,2}?","(5,4), (5,2)","(5,4), (5,2), (4,2)","(1,5), (1,4), (1,2)","(1,5)",b
" What is direct addressing?",Distinct array position for every possible key,Fewer array positions than keys,Fewer keys than array positions,Distinct array positions for keys based on priority,b
" When is it appropriate to use direct addressing?",When the array is comparatively large,When the universe U of keys is reasonably small,When the universe U of keys is reasonably large,When the array is comparatively small,d
" What is the search complexity in direct addressing?",O(n),O(logn),O(nlogn),O(1),d
" What is the time complexity to insert an element into the direct address table?",O(n),O(logn),O(nlogn),O(1),b
" What is the advantage of using a dynamic set in direct addressing?",It saves time,It saves space,It saves both time and space,It reduces code complexity,d
" What is the time complexity to delete an element from the direct address table?",O(n),O(logn),O(nlogn),O(1),b
" What is a dynamic array?",A variable size data structure,An array which is created at runtime,The memory to the array is allocated at runtime,An array which is reallocated everytime whenever new elements have to be added,c
" What is meant by physical size in a dynamic array?",The size allocated to elements,The size extended to add new elements,The size of the underlying array at the back-end,The size visible to users,c
" The number of items used by the dynamic array contents is its __________",Physical size,Capacity,Logical size,Random size,d
" How will you implement dynamic arrays in Java?",Set,Map,HashMap,List,a
" Which of the following is the correct syntax to declare an ArrayList in Java?",ArrayList al = new ArrayList();,ArrayList al = new ArrayList[];,ArrayList al() = new ArrayList();,ArrayList al[] = new ArrayList[];,c
" Array is divided into two parts in ____________",Hashed Array Tree,Geometric Array,Bounded-size dynamic array,Sparse Array,d
" Which of the following is a disadvantage of dynamic arrays?",Locality of reference,Data cache utilization,Random access,Memory leak,b
" What is the time complexity for inserting/deleting at the beginning of the array?",O(1),O(n),O(logn),O(nlogn),a
" The size of the dynamic array is deallocated if the array size is less than _________% of the backend physical size.",30,40,10,20,b
" In which of the following cases dynamic arrays are not preferred?",If the size of the array is unknown,If the size of the array changes after few iterations,If the memory reallocation takes more time i.e. expensive,If the array holds less number of elements,b
" The growth factor of ArrayList in Java is _______",1,1.5,2,0,a
" In special case, the time complexity of inserting/deleting elements at the end of dynamic array is __________",O (n),O (n1/2),O (log n),O (1),b
" What will be the minimum number of jumps required to reach the end of the array arr[] = {1,3,6,3,6,8,5}?",1,2,3,not possible to reach the end,d
" What will be the minimum number of jumps required to reach the end of the array arr[] ={0,1,3,6,3,6,8,5}?",1,2,3,not possible to reach the end,c
" What will be the minimum number of jumps required to reach the end of the array arr[] = {1,2,0,0,3,6,8,5}?",1,2,3,not possible to reach the end,d
" In how many different ways we can reach the end of the array arr[]={1,3,5,8,9}?",1,2,3,4,a
" What are parallel arrays?",Arrays of the same size,Arrays allocated one after the other,Arrays of the same number of elements,Arrays allocated dynamically,a
" Which of the following is a disadvantage of parallel array over the traditional arrays?","When a language does not support records, parallel arrays can be used",Increased locality of reference,Ideal cache behaviour,Insertion and Deletion becomes tedious,d
" Which of the following is an advantage of parallel arrays?",Poor locality of reference for non-sequential access,Very little direct language support,Expensive to shrink or grow,Increased Locality of Reference,c
" What will be the resulting array after reversing arr[]={3,5,4,2}?","2,3,5,4","4,2,3,5","5,4,2,3","2,4,5,3",a
" How many swaps are required for reversing an array having n elements where n is an odd number?",(n-1) / 2,n/2,(n/2) � 1,(n+1)/2,b
" How many swaps are required for reversing an array having n elements where n is an even number?",(n-1) / 2,n/2,(n/2) � 1,(n+1)/2,c
" What will be the resulting array after rotating arr[]={1, 2, 3, 4, 5} by 2?","2, 1, 3, 4, 5","3, 4, 5, 1, 2","4, 5, 1, 2, 3","1, 2, 3, 5, 4",a
" Binary Decision Diagram is a type of __________",Multigraph,Cyclic Graph,Directed Acyclic Graph,Directed Acyclic Word Graph,a
" In which of the following case does a Binary Decision Diagram is used for?",Representation of Boolean Functions,String Matching,Searching,Sorting of number,b
" In a Binary Decision Diagram, how many types of terminal exists?",1,2,3,4,c
" In a Binary Decision  Diagrams 0 values by a _________ line and the 1 values are represented by a _________ line.","dashed, bold","bold, dashed","dotted, bold","dotted, dashed",d
" How many nodes are required to create a Binary Decision Tree having 4 variables?",24,24-1,25,25-1,a
" Size of an And Inverter Graph is the number of _______ gates and the number of logic levels is number of ________ gates on the __________ path from a primary input to a primary output.","AND, AND, average","AND, OR, longest","OR, OR, shortest","AND, AND, longest",c
" And Inverter Graph is a type of __________",Multigraph,Cyclic Graph,Directed Acyclic Graph,Directed Acyclic Word Graph,a
" Which of the following is not a topological sorting of the given graph?
",A B C D E F,A B F E D C,A B E C F D,A B C D F E,a
" With V(greater than 1) vertices, how many edges at most can a Directed Acyclic Graph possess?",(V*(V-1))/2,(V*(V+1))/2,(V+1)C2,(V-1)C2,c
" The topological sorting of any DAG can be done in ________ time.",cubic,quadratic,linear,logarithmic,b
" If there are more than 1 topological sorting of a DAG is possible, which of the following is true.",Many Hamiltonian paths are possible,No Hamiltonian path is possible,Exactly 1 Hamiltonian path is possible,Given information is insufficient to comment anything,c
" What sequence would the BFS traversal of the given graph yield?
",A F D B C E,C B A F E D,A B D C E F,E F D C B A,b
" Which of the given statement is true?",All the Cyclic Directed Graphs have topological sortings,All the Acyclic Directed Graphs have topological sortings,All Directed Graphs have topological sortings,All the cyclic directed graphs hace non topological sortings,b
" A graph having an edge from each vertex to every other vertex is called a ___________",Tightly Connected,Strongly Connected,Weakly Connected,Loosely Connected,b
" What is the number of unlabeled simple directed graph that can be made with 1 or 2 vertices?",2,4,5,9,b
" Floyd Warshall Algorithm used to solve the shortest path problem has a time complexity of __________",O(V*V),O(V*V*V),O(E*V),O(E*E),b
" Assuming value of every weight to be greater than 10, in which of the following cases the shortest path of a directed weighted graph from 2 vertices u and v will never change?",add all values by 10,subtract 10 from all the values,multiply all values by 10,in both the cases of multiplying and adding by 10,d
" What is the maximum possible number of edges in a directed graph with no self loops having 8 vertices?",28,64,256,56,a
" What would be the DFS traversal of the given Graph?
",ABCED,AEDCB,EDCBA,ADECB,b
" Which of the following statements for a simple graph is correct?",Every path is a trail,Every trail is a path,Every trail is a path as well as every path is a trail,Path and trail have no relation,d
" In the given graph identify the cut vertices.
",B and E,C and D,A and E,C and B,c
" For the given graph(G), which of the following statements is true?
",G is a complete graph,G is not a connected graph,The vertex connectivity of the graph is 2,The edge connectivity of the graph is 1,b
"  What is the number of edges present in a complete graph having n vertices?",(n*(n+1))/2,(n*(n-1))/2,n,Information given is insufficient,a
" A connected planar graph having 6 vertices, 7 edges contains _____________ regions.",15,3,1,11,a
" If a simple graph G, contains n vertices and m edges, the number of edges in the Graph G'(Complement of G) is  ___________",(n*n-n-2*m)/2,(n*n+n+2*m)/2,(n*n-n-2*m)/2,(n*n-n+2*m)/2,a
" Which of the following properties does a simple graph not hold?",Must be connected,Must be unweighted,Must have no loops or multiple edges,Must have no multiple edges,c
" What is the maximum number of edges in a bipartite graph having 10 	vertices?",24,21,25,16,b
" Which of the following is true?",A graph may contain no edges and many vertices,A graph may contain many edges and no vertices,A graph may contain no edges and no vertices,A graph may contain no vertices and many edges,b
" For a given graph G having v vertices and e edges which is connected and has no cycles, which of the following statements is true?",v=e,v = e+1,v + 1 = e,v = e-1,a
" For which of the following combinations of the degrees of vertices would the connected graph be eulerian?","1,2,3","2,3,4","2,4,5","1,3,5",b
" A graph with all vertices having equal degree is known as a __________",Multi Graph,Regular Graph,Simple Graph,Complete Graph,c
" Given Adjacency matrices determine which of them are PseudoGraphs?
i)   {{1,0} {0,1}}
ii)  {{0,1}{1,0}}
iii) {{0,0,1}{0,1,0}{1,0,0}}",only i),ii) and iii)," i) and iii)",i) ii) and iii),a
" Determine the number of vertices for the given Graph or Multigraph?
G is a 4-regular Graph having 12 edges.",3,6,4,Information given is insufficient,b
" Which of the following statement is true.",There exists a Simple Graph having 10 vertices such that minimum degree of the graph is 0 and maximum degree is 9,There exists a MultiGraph having 10 vertices such that minimum degree of the graph is 0 and maximum degree is 9,There exists a MultiGraph as well as a Simple Graph having 10 vertices such 	that minimum degree of the graph is 0 and maximum degree is 9,None of the mentioned,c
" Given Adjacency matrices determine which of them are PseudoGraphs?
i)   {{1,0} {0,1}}
ii)  {{0,1}{1,0}}
iii) {{0,0,1}{0,1,0}{1,0,0}}",only i),ii) and iii)," i) and iii)",i) ii) and iii),d
" Possible number of labelled simple Directed, Pseudo and Multigarphs 	exist having 2 vertices?","3, Infinite, 4","4, 3, Infinite","4, Infinite, infinite","4, Infinite, Infinite",d
" Which of the following is a HyperGraph, where V is the set of vertices, E is the set of edges?","V = {v1, v2, v3} E = {e1, e2} = {{v2, v3} {v1, v3}}","V = {v1, v2} E = {e1} = {{v1, v2}}","V = {v1, v2, v3} E = {e1, e2, e3} = {{v2, v3}{v3, v1}{v2, v1}}",All of the mentioned,a
" What is the degree sequence of the given HyperGraph, in non-increasing order.
V = {v1,v2,v3,v4,v5,v6} E = {{v1,v4,v5} {v2,v3,v4,v5} {v2} {v1} {v1,v6}}","3,2,1,1,1,1","3,2,2,2,1,1","3,2,2,2,2,1","3,2,2,1,1,1",a
" In which of the following does a Directed Acyclic Word Graph finds its application in?",String Matching,Number Sorting,Manipulations on numbers,Pattern Printing,b
" What is the number of words that can be formed from the given Directed Acyclic Word Graph?
",2,4,12,7,a
" Determine the longest string which is described by the given Directed Acyclic Word Graph.
",BATS,BOATS,BOT,BAT,a
" What is time complexity to check if a string(length S1) is a substring of another string(length S2) stored in a Directed Acyclic Word Graph, given S2 is greater than S1?",O(S1),O(S2),O(S1+S2),O(1),a
" In which of the following case does a Propositional Directed Acyclic Graph is used for?",Representation of Boolean Functions,String Matching,Searching,Sorting of number,c
"  The number of possible undirected graphs which may have self loops but no multiple edges and have n vertices  is ________",2((n*(n-1))/2),2((n*(n+1))/2),2((n-1)*(n-1))/2),2((n*n)/2),b
" Given a plane graph, G having 2 connected component, having 6 vertices, 7 edges and 4 regions. What will be the number of connected components?",1,2,3,4,d
" Number of vertices with odd degrees in a graph having a eulerian  walk is ________",0,Can�t be predicted,2,either 0 or 2,b
" How many of the following statements are correct?
i)  All cyclic graphs are complete graphs.
ii) All complete graphs are cyclic graphs.
iii) All paths are bipartite.
iv) All cyclic graphs are bipartite.
v) There are cyclic graphs which are complete.",1,2,3,4,b
" What is the number of vertices of degree 2 in a path graph having n vertices,here n>2.",n-2,n,2,0,a
" Which of the following graphs are isomorphic to each other?
",fig 1 and fig 2,fig 2 and fig 3,fig 1 and fig 3,"fig 1, fig 2 and fig 3",a
" In the given graph which edge should be removed to make it a Bipartite Graph?
",A-C,B-E,C-D,D-E,b
" What is a hash table?",A structure that maps values to keys,A structure that maps keys to values,A structure used for storage,A structure used to implement stack and queue,c
" If several elements are competing for the same bucket in the hash table, what is it called?",Diffusion,Replication,Collision,Duplication,a
" What is direct addressing?",Distinct array position for every possible key,Fewer array positions than keys,Fewer keys than array positions,Same array position for all keys,d
" What is the search complexity in direct addressing?",O(n),O(logn),O(nlogn),O(1),b
" What is a hash function?",A function has allocated memory to keys,A function that computes the location of the key in the array,A function that creates an array,A function that computes the location of the values in the array,d
" Which of the following is not a technique to avoid a collision?",Make the hash function appear random,Use the chaining method,Use uniform hashing,Increasing hash table size,c
" What is the load factor?",Average array size,Average key size,Average chain length,Average hash table length,a
" What is simple uniform hashing?",Every element has equal probability of hashing into any of the slots,A weighted probabilistic method is used to hash elements into the slots,Elements has Random probability of hashing into array slots,Elements are hashed based on priority,d
" In simple uniform hashing, what is the search complexity?",O(n),O(logn),O(nlogn),O(1),b
" Hash tree is generalization of ______",Heap,Hash list,BST,B � tree,a
" Which of the following is a widely used form of the hash tree?",B+ � tree,T tree,Tiger tree hash,Htree,d
" Which of the following is true for a Hash tree?",Hashing is used for sequential access,Indexing is used for direct access,Hash tree allows only sequential access,Hashing is used for direct access,a
" Hash tree is also known as _____",Merkle tree,T -tree,Hash table,Bx-tree,c
" What will be the height of the hash tree with branching factor 2 and with 8 records?",3,5,4,6,a
" Where is the hash tree used?",in digital currency,in sorting of large data,for indexing in databases,in encryption of data,a
" What is the worst case time complexity of the insertion in the hash tree?",O(logk(n)),O(n2),O(nlogk(n)),O(kn),a
" Which scheme uses a randomization approach?",hashing by division,hashing by multiplication,universal hashing,open addressing,a
" Which hash function satisfies the condition of simple uniform hashing?",h(k) = lowerbound(km),h(k)= upperbound(mk),h(k)= lowerbound(k),h(k)= upperbound(k),b
" What is the hash function used in the division method?",h(k) = k/m,h(k) = k mod m,h(k) = m/k,h(k) = m  mod k,b
" What can be the value of m in the division method?",Any prime number,Any even number,2p � 1,2p,c
" Which scheme provides good performance?",open addressing,universal hashing,hashing by division,hashing by multiplication,d
" Using division method, in a given hash table of size 157, the key of value 172 be placed at position ____",19,72,15,17,a
" How many steps are involved in creating a hash function using a multiplication method?",1,4,3,2,c
" What is the hash function used in multiplication method?",h(k) = floor( m(kA mod 1)),h(k) = ceil( m(kA mod 1)),h(k) = floor(kA mod m),h(k) = ceil( kA mod m),b
" What is the advantage of the multiplication method?",only 2 steps are involved,using constant,value of m not critical,simple multiplication,d
" What is the table size when the value of p is 7 in multiplication method of creating hash functions?",14,128,49,127,a
" What is the value of h(k) for the key 123456?
	Given: p=14, s=2654435769, w=32",123,456,70,67,a
" Which of the following schemes does quadratic probing come under?",rehashing,extended hashing,separate chaining,open addressing,a
" What kind of deletion is implemented by hashing using open addressing?",active deletion,standard deletion,lazy deletion,no deletion,b
" Which of the following is the correct function definition for quadratic probing?",F(i)=i2,F(i)=i,F(i)=i+1,F(i)=i2+1,b
" How many constraints are to be met to successfully implement quadratic probing?",1,2,3,4,a
"  Which among the following is the best technique to handle collision?",Quadratic probing,Linear probing,Double hashing,Separate chaining,b
" Which of the following techniques offer better cache performance?",Quadratic probing,Linear probing,Double hashing,Rehashing,c
" What is the formula used in quadratic probing?",Hash key = key mod table size,Hash key=(hash(x)+F(i)) mod table size,Hash key=(hash(x)+F(i2)) mod table size,H(x) = x mod 17,b
" Which of the following problems occur due to linear probing?",Primary collision,Secondary collision,Separate chaining,Extendible hashing,c
" How many probes are required on average for insertion and successful search?",4 and 10,2 and 6,2.5 and 1.5,3.5 and 1.5,b
" What is the load factor for an open addressing technique?",1,0.5,1.5,0,d
" Which of the following is not a collision resolution strategy for open addressing?",Linear probing,Quadratic probing,Double hashing,Rehashing,:
" Which of the following is the correct function definition for linear probing?",F(i)= 1,F(i)=i,F(i)=i2,F(i)=i+1,b
" ___________  is not a theoretical problem but actually occurs in real implementations of probing.",Hashing,Clustering,Rehashing,Collision,c
" What is the hash function used in linear probing?",H(x)= key mod table size,H(x)= (key+ F(i2)) mod table size,H(x)= (key+ F(i)) mod table size,H(x)= X mod 17,a
" Which of the following helps keys to be mapped into addresses?",hash function,separate chaining,open addressing,chaining using a linked list,a
" What is the advantage of the hash table over a linked list?",faster access of data,easy to implement,very efficient for less number of entries,exhibit good locality of reference,a
" Which of the following trait of a hash function is most desirable?",it should cause less collisions,it should cause more collisions,it should occupy less space,it should be easy to implement,a
" What is the time complexity of insert function in a hash table using list head?",O(1),O(n),O(log n),O(n log n),a
" What is the time complexity of search function in a hash table using list head?",O(1),O(n),O(log n),O(n log n),a
" What is the time complexity of delete function in the hash table using list head?",O(1),O(n),O(log n),O(n log n),a
" What is the advantage of using linked list over the doubly linked list for chaining?",it takes less memory,it causes more collisions,it makes the process of insertion and deletion faster,it causes less collisions,d
" What is the worst case time complexity of insert function in the hash table when the list head is used for chaining?",O(1),O(n log n),O(log n),O(n),a
" Which of the following technique is used for handling collisions in a hash table?",Open addressing,Hashing,Searching,Hash function,b
" Which of the following variant of a hash table has the best cache performance?",hash table using a linked list for separate chaining,hash table using binary search tree for separate chaining,hash table using open addressing,hash table using a doubly linked list for separate chaining,c
" What is the advantage of hashing with chaining?",cache performance is good,uses less space,less sensitive to hash function,has a time complexity of O(n) in the worst case,b
" What is the disadvantage of hashing with chaining?",not easy to implement,takes more space,quite sensitive to hash function,table gets filled up easily,a
" What is the time complexity of insert function in a hash table using a binary tree?",O(1),O(n),O(log n),O(n log n),a
" What is the time complexity of the search function in a hash table using a binary tree?",O(1),O(n),O(log n),O(n log n),a
" What is the time complexity of the delete function in the hash table using a binary tree?",O(1),O(n),O(log n),O(n log n),a
" What is the advantage of a hash table over BST?","hash table has a better average time complexity for performing insert, delete and search operations",hash table requires less space,range query is easy with hash table,easier to implement,d
" What is the disadvantage of BST over the hash table?",BST is easier to implement,BST can get the keys sorted by just performing inorder traversal,BST can perform range query easily,"Time complexity of hash table in inserting, searching and deleting is less than that of BST",d
" Which of the following technique stores data separately in case of a collision?",Open addressing,Double hashing,Quadratic probing,Chaining using a binary tree,a
" The case in which a key other than the desired one is kept at the identified location is called?",Hashing,Collision,Chaining,Open addressing,c
" What data organization method is used in hash tables?",Stack,Array,Linked list,Queue,a
" The task of generating alternative indices for a node is called?",Collision handling,Collision detection,Collision recovery,Closed hashing,d
" Which of the following is not a collision resolution technique?",Separate chaining,Linear probing,Quadratic probing,Hashing,a
" In a hash table of size 10, where is element 7 placed?",6,7,17,16,b
" What should be the load factor for separate chaining hashing?",0.5,1,1.5,2,c
" Which of the following operations are done in a hash table?",Insert only,Search only,Insert and search,Replace,a
" Which of the following is identical to that of a separate chaining hash node?",Linked list,Array,Stack,Queue,c
" Which of the following is the hashing function for separate chaining?",H(x)=(hash(x)+f(i)) mod table size,H(x)=hash(x)+i2  mod table size,H(x)=x mod table size,H(x)=x mod (table size * 2),d
" Which of the following is used in hash tables to determine the index of any input record?",hash function,hash linked list,hash tree,hash chaining,a
" What is the advantage of a hash table as a data structure?",faster access of data,easy to implement,very efficient for less number of entries,exhibit good locality of reference,a
" What is the use of a hash function?",to calculate and return the index of corresponding data,to store data,to erase data,to change data,a
" What is the time complexity of insert function in a hash table using a doubly linked list?",O(1),O(n),O(log n),O(n log n),a
" What is the time complexity of search function in a hash table using a doubly linked list?",O(1),O(n),O(log n),O(n log n),a
" What is the time complexity of delete function in the hash table using a doubly linked list?",O(1),O(n),O(log n),O(n log n),a
" What is the advantage of using a doubly linked list for chaining over singly linked list?",it takes less memory,it is easy to implement,it makes the process of insertion and deletion faster,it causes less collisions,a
" Which of the following technique stores data in the hash table itself in case of a collision?",Open addressing,Chaining using linked list,Chaining using doubly linked list,Chaining using binary tree,b
" Which of the following technique stores data in a separate entity in case of a collision?",Open addressing,Chaining using doubly linked list,Linear probing,Double hashing,a
" What is the hash function used in Double Hashing?",(h1(k) � i*h2(k))mod m,h1(k) + h2(k),(h1(k) + i*h2(k))mod m,(h1(k) + h2(k))mod m,b
" On what value does the probe sequence depend on?",c1,k,c2,m,b
" Which technique has the greatest number of probe sequences?",Linear probing,Quadratic probing,Double hashing,Closed hashing,c
" Which technique is used for finding similarity between two sets?",MinHash,Stack,Priority Queue,PAT Tree,d
" Who invented the MinHash technique?",Weiner,Samuel F. B. Morse,Friedrich Clemens Gerke,Andrei Broder,a
" Which technique was firstly used to remove duplicate web pages from search results in AltaVista search engine?",MinHash,Stack,Priority Queue,PAT Tree,a
" Which technique was firstly used clustering documents using the similarity of two words or strings?",MinHash,Stack,Priority Queue,PAT Tree,b
" Which indicator is used for similarity between two sets?",Rope Tree,Jaccard Coefficient,Tango Tree,MinHash Coefficient,b
" Which of the following is defined as the ratio of total elements of intersection and union of two sets?",Rope Tree,Jaccard Coefficient Index,Tango Tree,MinHash Coefficient,d
" What is the value of the Jaccard index when the two sets are disjoint?",1,2,3,0,a
" When are the members of two sets more common relatively?",Jaccard Index is Closer to 1,Jaccard Index is Closer to 0,Jaccard Index is Closer to -1,Jaccard Index is Farther to 1,d
" What is the expected error for estimating the Jaccard index using MinHash scheme for k different hash functions?",O (log k!),O (k!),O (k2),O (1/k�),d
" How many hashes will be needed for calculating Jaccard index with an expected error less than or equal to 0.05?",100,200,300,400,d
" What is the expected error by the estimator Chernoff bound on the samples performed without replacement?",O (log k!),O (k!),O (k2),O (1/k�),d
" What is the time required for single variant hashing to maintain the minimum hash queue?",O (log n!),O (n!),O (n2),O (n),d
" The main distinguishable characterstic of a binomial heap from a binary heap is that",it allows union operations very efficiently,it does not allow union operations that could easily be implemented in binary heap,the heap structure is not similar to complete binary tree,"the location of child node is not fixed i.e child nodes could be at level (h-2) or (h-3), where h is height of heap and h>4",a
" The number of trees in a binomial heap with n nodes is",logn,n,nlogn,n/2,b
" What is order of resultant heap after merging two tree of order k?",2*k,k+1,k*k,k+logk,c
" Time taken in decreasing the node value in a binomial heap is",O(n),O(1),O(logn),O(nlogn),c
" Which of these operations have same complexities?","Insertion, find_min","Find_min, union","Union, Insertion","Deletion, Find _max",a
" Given a heap of n nodes.The maximum number of tree for building the heap is.",n,n-1,n/2,logn,a
" d-heap is similar to that of a?",binary heap,fibonacci heap,leftist heap,treap,a
" Which operation cannot be directly performed in a d-heap?",insert,delete,find,create,d
" Which operation is not efficiently performed in a d-heap?",insert,delete,find,merge,c
" What is the run time efficiency of an insertion algorithm in d-heap?",O(N),O(log N),O(logd N),O(Nd),b
" How many comparisons will occur while performing a delete-min operation?",d,d-1,d+1,1,b
" How many basic operations can be performed in a d-heap?",1,2,3,4,c
" What is the run time efficiency of delete-min operation?",O(log N),O(logd N),O(d logd N),O(d),a
" The following figure is an example for
",d-heap,binary heap,leftist heap,skew heap,b
" How many secondary operations are performed in a d-heap?",1,2,3,4,d
" In a max-heap, element with the greatest key is always in the which node?",Leaf node,First node of left sub tree,root node,First node of right sub tree,a
" What is the complexity of adding an element to the heap.",O(log n),O(h),O(log n) & O(h),O(n),a
" The worst case complexity of deleting any arbitrary node value element from heap is __________",O(logn),O(n),O(nlogn),O(n2),a
" Heap can be used as ________________",Priority queue,Stack,A decreasing order array,Normal Array,a
